ALLOC_CROWDSALE()
crowdSaleOngoing()
crowdSaleOpen()
crowdSaleOverTimestamp()
crowdSaleOwner()
crowdSalePercentage()
crowdSaleRate()
crowdSaleSoldAmount()
crowdSaleStartTimestamp()
crowdSaleState()
crowdSaleSupply()
crowdSaleTime()
crowdSaleTokens()
crowdSaleTokens(address)
crowdSaleType()
crowdSaleWeiMaximum()
crowdSaleWeiMinimum()
crowdSaleaddress()
crowdSalesCompleted()
crowdsale()
crowdsale(address)
crowdsale(address,uint256)
crowdsale(uint256,uint256,uint256)
crowdsaleActive()
crowdsaleAddr()
crowdsaleAddress()
crowdsaleAgent()
crowdsaleAirdropAddress()
crowdsaleAllocation()
crowdsaleAllowance()
crowdsaleBalance()
crowdsaleBurnAddress()
crowdsaleBurnAmount()
crowdsaleCanceled()
crowdsaleCap()
crowdsaleClosed()
crowdsaleClosingTime()
crowdsaleCompleted()
crowdsaleConcluded()
crowdsaleContract()
crowdsaleContractAddress()
crowdsaleContracts(address)
crowdsaleContributions(address)
crowdsaleDeposited(address)
crowdsaleDuration()
crowdsaleEnabled()
crowdsaleEnd()
crowdsaleEndBlock()
crowdsaleEndDeclarationTime()
crowdsaleEndLockTime()
crowdsaleEndTime()
crowdsaleEndsAt()
crowdsaleExchangeRate()
crowdsaleFinalized()
crowdsaleFinishTime()
crowdsaleFinished()
crowdsaleGoalReached()
crowdsaleHardEndTime()
crowdsaleHasClosed()
crowdsaleHasEnded()
crowdsaleInitialized()
crowdsaleIsActivated()
crowdsaleIsOn()
crowdsaleIsOpen()
crowdsaleLock()
crowdsaleManager()
crowdsaleMinElapsedTimeLevels(uint256)
crowdsaleMinUSD()
crowdsaleMinted()
crowdsaleMinter()
crowdsaleOn()
crowdsaleOpen()
crowdsaleOpen(bool)
crowdsaleOpeningTime()
crowdsaleOwner()
crowdsalePart()
crowdsalePrice()
crowdsaleRaised()
crowdsaleRate()
crowdsaleRates(uint256)
crowdsaleRunning()
crowdsaleSetup(uint256,uint256)
crowdsaleSold()
crowdsaleStart()
crowdsaleStartBlock()
crowdsaleStartTime()
crowdsaleStartTimestamp()
crowdsaleStarted()
crowdsaleStartsAt()
crowdsaleState()
crowdsaleStatus()
crowdsaleStop(bool)
crowdsaleStopped()
crowdsaleSucceeded()
crowdsaleSuccessful()
crowdsaleSupply()
crowdsaleTarget()
crowdsaleTargetBRA()
crowdsaleTargetReached()
crowdsaleTokenSold()
crowdsaleTokenSupply()
crowdsaleTokens()
crowdsaleTokensWallet()
crowdsaleTotal()
crowdsaleTransfer(address,uint256)
crowdsaleUserCaps(uint256)
crowdsaleVault()
crowdsaleVolume()
crowdsaleWallet()
crowdsaleWeiAvailableLevels(uint256)
crowdsaleWeiRaised()
crowdsale_detail()
crowdsaleendTime()
crowdsalestartTime()
currentCrowdsale()
currentCrowdsaleLimit()
declareCrowdsaleEnd()
deleteCrowdsaleContract(address)
developer_crowdsale_text(string)
disableCrowdsale()
distributeCrowdsaleTokens(address,uint256)
distributeCrowdsaleTokens(address,uint256,uint256)
durationCrowdSale()
enableCrowdsale()
endCrowdSale()
endCrowdsale()
endCrowdsalePublic()
endCrowdsalel()
end_crowdsale()
eosCrowdsaleAddress()
ethCrowdsale()
finalizeCrowdSale()
finalizeCrowdsale()
finalizeCrowdsale(uint256,uint256,uint256)
finishCrowdSale()
finishCrowdsale()
firstCrowdSaleDate()
firstCrowdSaleEndDate()
gapInPrimaryCrowdsaleAndSecondaryCrowdsale()
getCrowdsaleAddress()
getCrowdsaleAmount()
getCrowdsaleBalance()
getCrowdsaleDuration()
getCrowdsaleRate()
getCrowdsaleStatus()
getCrowdsaleTokens()
getCrowdsaleUserCap()
haltCrowdSale()
haltCrowdsale()
hasCrowdsaleFinished()
initCrowdsale(address)
init_crowdsale(address)
initialBalanceForCrowdsale()
initializeCrowdsale(address)
initializeCrowdsale(address,uint256)
investedCrowdsaleTokenOf(address)
isCrowdSaleFinalized()
isCrowdSaleFinished()
isCrowdSaleSetup()
isCrowdSaleStateICO()
isCrowdSaleStatePreSale()
isCrowdsale()
isCrowdsaleActive()
isCrowdsaleFinalized()
isCrowdsaleFinished()
isCrowdsaleFull()
isCrowdsaleOpen()
isDecentBetCrowdsale()
limitCrowdsale()
lockCrowdSale()
markCrowdsaleEnding()
maxCrowdsaleSupplyInWholeTokens()
maxTokensToSaleIncrowdsale()
minCrowdsaleAllocation()
mintCrowdsale(uint256)
mint_Crowdsale(address)
mintedCrowdsale()
onOffCrowdSale(bool)
openCrowdSale(uint256)
openCrowdSale(uint256,uint256,uint256,uint256,uint256)
openCrowdsale()
openCrowdsale(bool)
pauseCrowdSale()
pauseCrowdsale()
poaCrowdsaleMaster()
preCrowdsaleContractAddress()
preCrowdsaleOn()
preCrowdsaleTokens()
preCrowdsaleTokensWallet()
privateCrowdsale(address,uint256)
prolongCrowdsale()
queryEOSCrowdsaleKey(address)
registerCrowdsales(address,uint256,uint256)
removeCrowdsaleContract(address)
reopenCrowdsale()
resetCrowdSale()
resetCrowdSaleAddress(address)
resetCrowdSaleaddress(address)
restCrowdSaleAddress(address)
restartCrowdsale()
resumeCrowdSale()
resumeCrowdsale()
secondCrowdSaleDate()
secondCrowdSaleEndDate()
sendCrowdsaleBalance(address,uint256)
sendCrowdsaleTokens(address,uint256)
sendTokensToCrowdsale()
sendTokensToCrowdsale(address,uint256)
sendTokensToCrowdsale(uint256,address)
sendedToCrowdsale()
setAddressOfCrowdsale(address)
setCrowdSale(address)
setCrowdSaleAddress(address)
setCrowdSaleContract(address)
setCrowdSaleStart(uint256)
setCrowdSaleStatus(bool)
setCrowdSalesStatus(bool)
setCrowdsale(address)
setCrowdsale(address,uint256)
setCrowdsaleAddr(address)
setCrowdsaleAddress(address)
setCrowdsaleAgent(address)
setCrowdsaleAndVesting(address,address,address)
setCrowdsaleCloseTimerFor(uint256)
setCrowdsaleClosed(bool)
setCrowdsaleCompleted()
setCrowdsaleContract(address)
setCrowdsaleEndTime(uint256)
setCrowdsaleInterface(address)
setCrowdsaleManager(address)
setCrowdsaleMinter(address)
setCrowdsaleOpenTimerFor(uint256)
setCrowdsaleRate(uint256)
setCrowdsaleStartTime(uint256)
setCrowdsaleTarget(uint256)
setCrowdsaleTotal(uint256)
setPreCrowdsaleAddress(address)
setupCrowdsale(address,bool)
starbaseCrowdsale()
startCrowdSale()
startCrowdsale()
startCrowdsale(uint256)
startCrowdsale(uint256,uint256,uint256,uint256)
startCrowdsale0(address)
startCrowdsale1(address)
startCrowdsale2(address)
startCrowdsaleTime()
startCrowdsaleY0(address)
startCrowdsaleY1(address)
startCrowdsaleY2(address)
startSecondaryCrowdsale(uint256)
start_crowdsale(uint256,uint256,uint256)
stopCrowdSale()
stopCrowdsale()
stopCrowdsaleTime()
stoppCrowdsale(uint256)
sum_crowdsale()
switchCrowdSaleStage()
switchCrowdsale()
tokenAllocToCrowdsale()
tokenCrowdsaleCap()
tokenCrowdsaleRate()
tokensAfterCrowdsale()
tokensDistributedCrowdsale()
tokensForCrowdsale()
tokensSoldCrowdSale(address,uint256)
totalCrowdSale()
totalCrowdsale()
totalSupplyCrowdsale()
totalSupplyForCrowdsaleAndMint()
totalSupplyFromCrowdsale()
totalTokensCrowdSale()
total_crowdsale_token()
transferByCrowdSale(address,uint256)
transferByCrowdsale(address,uint256)
transferCrowdsale(address,uint256)
transferFromByCrowdsale(address,address,uint256)
transferFromCrowdsale(address,uint256)
transferToCrowdsale(address,uint256)
transferredCrowdsale()
updateCrowdsale(uint256,uint256,uint256)
updateCrowdsale(uint256,uint256,uint256,uint256,uint256)
updateCrowdsale(uint256,uint256,uint256,uint256,uint256,uint256)
updateCrowdsaleAddress(address)
updateCrowdsaleDuration(uint128)
updateCrowdsaleEndBlock(uint256)
withdrawCrowdsaleTokens(address,uint256)
withdrawTokenFromCrowdsale(address)
