AWhitelistFounderDeveloper(address,bool)
IS_BLACKLISTED()
InitWhitelist()
IsBlacklisted(address)
IsWhiteListContract(address)
IsWhitelisted(address)
MARKET_WHITELIST_BASE_AMT()
MARKET_WHITELIST_TOKEN()
MARKET_WHITELIST_TOKEN_BP()
MAX_DISTRIBUTION_DURATION()
MAX_PREMIUM_DISTRIBUTION_EPOCHS()
MAX_WHITELISTED_COUNT()
MakeWhitelist(address)
OWN_DistributeTokenAdmin_Multi(address[],uint256,bool)
OwnerfeeDistributor()
PREMIUM_DISTRIBUTION_EPOCH()
REWARDS_DISTRIBUTOR()
ROLE_PARTNERWHITELIST()
ROLE_PRIVATESALEWHITELIST()
ROLE_WHITELISTED()
RemoveBlacklist(address)
RemoveFromBlackList(address)
RemoveFromBlacklist(address)
RemoveFromWhitelist(address)
SnapshotAndDistributePot()
StartDistribution()
StartFuseaNetworkDistribution()
StartXeriumNetworkDistribution()
StopFuseaNetworkDistribution()
StopXeriumNetworkDistribution()
TAPwhiteListed(address)
UnWhiteList(address)
UpdateEnableProfitDistribution(bool)
WHITELIST()
WHITELISTED()
WHITELISTED_FROM_ROLE()
WHITELISTED_MSG_SENDER_ROLE()
WHITELISTED_ROLE()
WHITELISTER_ROLE()
WHITELIST_FROM_ROLE()
WHITELIST_MANAGER_ROLE()
WHITELIST_PERIOD()
WHITELIST_PROXY_ADDRESS()
WHITELIST_ROLE()
WHITELIST_TO_ROLE()
WHITELIST_TRANSFER_ROLE()
WhiteList(address)
WhiteListAddresses(uint256)
WhiteListCaller(address,bytes4)
WhiteListedCaller(address,bytes4)
Whitelist(address)
WhitelistAddressdisable(address)
WhitelistAddressenable(address)
WhitelistAddressisListed(address)
WhitelistParticipant(address)
Whitelisted(address)
WhitelistedAddress()
_BlackListAddress()
_BlackListBot()
_TOTAL_BLOCK_DISTRIBUTION_()
__WhitelistRole_init()
_addWhitelistedContract(address)
_blackListDapp(address)
_blacklist(address)
_blacklisted(address)
_burnWhitelist(address)
_distribute()
_distributePenaltyEarning()
_distributeRewards(address,uint256)
_distributionEraComplete()
_distributionSupply()
_distributor()
_feeToDistribute()
_getBlackListStatus(address)
_initialDistribution()
_initialDistributionTimestamp()
_insertWhitelist(address[])
_isBlackListAddress()
_isBlackListBot()
_isBlackListedBot()
_isBlackListedBots()
_isBlackListedSniper()
_isWhitelistedContract(address)
_lastDistribution()
_lgeWhitelistRounds(uint256)
_mBlacklistAddress()
_removeWhitelistedContract(address)
_setUndistributedAddress(address)
_shipBlacklistAddress()
_spaceBlacklistAddress()
_tradingBlacklistAddress()
_updateWhitelist(address,address)
_whiteList(address)
_whiteListDapp(address)
_whitelist(address)
_whitelistedAddress(address)
_whitelistedAddresses(address)
_whitelister()
activateWhitelist()
activateWhitelist(bool)
add1stWhiteList(address)
add2ndWhiteList(address)
addAccountsToWhitelist(address[])
addAddWhitelistPermission(address)
addAddressToBlacklist(address)
addAddressToPartnerWhiteList(address,uint256)
addAddressToPrivateWhiteList(address,uint256)
addAddressToWhiteList(address)
addAddressToWhitelist(address)
addAddressesToBlacklist(address[])
addAddressesToWhitelist(address[])
addBatchWhitelist(address[])
addBlackList(address)
addBlackListAddress(address)
addBlackListed(address)
addBlackLister(address)
addBlackLists(address[])
addBlacklist(address)
addBlacklist(address[])
addBlacklistAddress(address)
addBlacklistAddressSimple(address[])
addBlacklistAdmin(address)
addBlacklistItem(address)
addBlacklisted(address)
addBlacklisted(address[])
addBlacklistedUser(address)
addBlacklister(address)
addBotToBlackList(address)
addBotToBlacklist(address)
addBulkWhitelist(address[])
addBurnWhitelist(address)
addCallSpenderWhitelist(address)
addContractToTokenFallbackWhiteList(address)
addDistributionAddresses(address,uint256)
addDistributionContract(address)
addDistributor(address)
addInvestorToWhiteList(address,bool,bool,bool)
addInvestorToWhiteListAndMint(address,uint256,bool,bool,bool)
addInvestorsToWhiteList(address[],bool[],bool[],bool[])
addListToBlacklist(address[])
addListToWhiteList(address[])
addListToWhitelist(address[])
addManyToBlacklist(address[])
addManyToPresaleWhitelist(address[])
addManyToWhitelist(address[])
addOrRemoveBlackList(address,bool)
addOrRemoveDistributionWallet(address,bool)
addPermBalanceToWhitelist(address,uint256)
addPresaleWhitelist(address)
addPresaleWhitelist(address,uint256)
addPublicFundingWhiteList(address[])
addReceiveWhiteListAddress(address)
addReceiverBurnWhitelist(address)
addRecipientToWhitelist(address)
addReentrancyWhitelist(address)
addRemoveWhitelistPermission(address)
addSenderBurnWhitelist(address)
addSenderToWhitelist(address)
addSniperToBlackList(address)
addSniperToBlacklist(address,uint256)
addSnipertoblacklist(address,uint256)
addTaxWhiteList(address)
addToBlackList(address)
addToBlacklist(address)
addToBlacklist(address,uint256)
addToBlacklist(address[])
addToBlacklistMulti(address[])
addToCommunitySaleWhitelist(address[])
addToLockWhitelist(address)
addToMintWhitelist(address)
addToPoolWhiteList(address[])
addToPreSaleWhitelist(address)
addToPresaleWhitelist(address)
addToTaxWhiteList(address)
addToTransferBlacklist(address)
addToTransferFromBlacklist(address)
addToTransferWhiteList(address)
addToTransferWhitelist(address)
addToTransferWhitelist(bool,address)
addToWhiteList(address)
addToWhiteList(address[])
addToWhiteList(address[],uint256[])
addToWhiteList(uint256,address)
addToWhitelist(address)
addToWhitelist(address,bytes32)
addToWhitelist(address,uint256)
addToWhitelist(address,uint8)
addToWhitelist(address[])
addToWhitelist(address[],uint8)
addToWhitelist(uint8,address)
addToWhitelistArray(address[])
addToWhitelistBatch(address[])
addToWhitelistBulk(address[])
addToWhitelistExternal(address,uint256,uint256)
addToWhitelistInBulk(address[])
addToWhitelistMulti(address[])
addToWhitelistMultiple(address[])
addTransferAndCallWhitelist(address)
addTransferWhiteList(address)
addTransferWhiteListAddress(address)
addUserIntoBlacklist(address)
addWhiteList(address)
addWhiteList(uint8,address,uint256)
addWhiteListAddress(address)
addWhiteListContract(address,bool)
addWhiteListMulti(address[])
addWhiteListTransfer(address)
addWhiteListed(address)
addWhiteListedContracts(address)
addWhiteListedInBulk(address[])
addWhitelist(address)
addWhitelist(address,bool)
addWhitelist(address,uint256)
addWhitelist(address[])
addWhitelistAddress(address)
addWhitelistAddress(address,uint256)
addWhitelistAddress(address[])
addWhitelistAddresses(address[])
addWhitelistAdmin(address)
addWhitelistCfo(address)
addWhitelistFrom(address)
addWhitelistMember(address[],uint256[])
addWhitelistMultiple(address[])
addWhitelistPermission(address)
addWhitelistTo(address)
addWhitelistTransfer(address,string)
addWhitelisted()
addWhitelisted(address)
addWhitelisted(address,string)
addWhitelisted(address[])
addWhitelistedAddress(address)
addWhitelistedBurn(address)
addWhitelistedSender(address)
addWhitelistedTransfer(address)
addWhitelistedTransfer(address[])
addWhitelister(address)
addWhitelists(address[],uint256[])
addZeroWhiteList(address)
addblackList(address)
addblacklist(address)
addedWhiteListAddressesLog()
addrDistribution()
addressBlacklist(address)
addressBlacklists(address)
addressIsWhitelisted(address)
addressWhiteList(uint256)
addressWhitelists(address)
addtoblacklist(address)
addwhitelist(address)
adjustBlacklistTxFees(uint256,uint256)
adminDistribute(uint256)
adminUpdateWhiteList(address,bool)
adminWhiteList(address,bool)
adminWhitelistAdministrator(address,bool)
adminWhitelistCEVA(address,bool)
advisorsRewardDistributionAddress()
afterSTEDistributed()
airDropBlacklist(address)
airdropDistribute(address[],uint256)
airdropDistribute(address[],uint256[])
allowTransferWhitelist()
allowWhitelistRegistration()
allowWhitelistedAccountsOnly(bool)
amIWhitelisted()
approveBlacklistedAddressSpender(address)
areTokensDistributedForAddress(address)
autoDistribute()
autoWhitelistTo(address)
batchAddWhitelisted(address[])
batchAddWhitelistedTransfer(address[])
batchApproveWhitelist(address[])
batchBlacklistAddresses(address[])
batchDistributeReward(address[],uint256[],uint256)
batchDistributeToken(address[],uint256[])
batchToggleWhitelist(address[],bool)
batchWhitelistAddresses(address[])
betaDelegateWhitelister()
blackList()
blackList(address)
blackListAccessorAddress()
blackListAdd(address)
blackListAddress(address,bool)
blackListFreezeTime()
blackListRemove(address)
blackListSellTxFee()
blackListToken(uint256)
blackListTxFee()
blackListUser(address)
blackListUser(address,bool)
blackListed(address)
blackListedToken(uint256)
blackListedUser(address)
blackLister()
blackLists(address)
blacklist()
blacklist(address)
blacklist(address,uint256)
blacklist(address[])
blacklist(uint256)
blacklistAccount(address)
blacklistAccount(address,bool)
blacklistAdd(address)
blacklistAddress(address)
blacklistAddresses(address)
blacklistAddresses(address[])
blacklistAddresses(bool,address)
blacklistAddresses(uint256)
blacklistAdress(address,bool)
blacklistBot(address)
blacklistController()
blacklistInvestor(address)
blacklistLottery(address)
blacklistManager()
blacklistMany(address[])
blacklistMultipleWallets(address[])
blacklistOf(address)
blacklistRecoverableToken(address)
blacklistRemove(address)
blacklistSingleWallet(address)
blacklistStake(bool,uint256)
blacklistStore()
blacklistSwitch()
blacklistTarget(address)
blacklistUnlocked()
blacklistUpdate(address,bool)
blacklistUser(address)
blacklistUserForTransfers(address)
blacklistable()
blacklisted()
blacklisted(address)
blacklistedAddr(address)
blacklistedAddress(address)
blacklisteds(uint256)
blacklister()
blacklisting()
blacklisting(address)
blacklists(address)
blockNumberOfDistributionEnding()
bonusDistributionAddress()
bountyDistributorAddress()
bountyManagerDistributionContract()
bountyTokensNotDistributed()
bovBatchDistributed()
bulkIssueWhitelistAndTimelock(address,address[],uint256[],uint256[])
burnBlackListAmount(address,uint256)
burnBlacklistToken(address,uint256)
burnBlacklisted(address,uint256)
burnBlacklistedFunds(address)
burnDistributorTokensAndUnlock()
burnReceiverWhitelist(address)
burnSenderWhitelist(address)
burnUndistributed()
buyWhitelist()
calcInstantaneousDistributionAmount()
calculateDistributedAmount(uint256,uint256,uint256)
calculateTheRewardOfDirectWhitelistRegistration(address)
calculateUnclaimedDistributions(address)
callSpenderWhitelist(address)
callbackInsertApproveAndDistribute(uint256,address[],uint256[])
canBurnWhiteList()
canBurnWhiteList(address)
canFeeWhitelist()
canReceiveMintWhiteList()
canReceiveMintWhitelist()
canRedistributeLapsedAccount(address)
canRedistributeUnclaimedIn(uint256)
canWhitelist()
cevaWhitelistBurnRequest(address,bool,bytes32)
cevaWhitelistFounderDeveloper(address,bool)
cevaWhitelistMintRequest(address,bool,bytes32)
cevaWhitelistProperty(address,bool,bytes32)
changeBlackListAccessorAddress(address)
changeBlacklist(address,bool)
changeBlacklist(address,uint256)
changeBonusDistributionAddress(address)
changeDistributor(address)
changeDividendPoolDistributeRate(uint256)
changeRegistrationStatusForGoldWhiteList(address,bool)
changeRegistrationStatusForSilverWhiteList(address,bool)
changeRewardsDistributor(address)
changeTotalDistributed(uint256)
changeVestingWhitelister(address)
changeWhitelist(address)
changeWhitelist(bool)
changeWhitelistContract(address)
changeWhitelistForBurn(address)
changeWhitelistManager(address)
changeWhitelistManagerAddressAddress(address)
changeWhitelistStatus(address,bool)
changeWhitelistedContract(address)
changeWhitelistingStatus()
checkAndDistributeBal()
checkBlacklist(address)
checkBlacklistAllowed(address,address)
checkIfAddressIsWhitelisted(address)
checkMyUndistributedBalance(uint256)
checkUserWhiteList(address)
checkWhiteList(address)
checkWhiteListed(address)
checkWhitelist()
checkWhitelist(address)
checkWhitelistAllowed(address,address)
checkWhitelistEnabled()
checkWhitelisted(address)
checkWhitelists(address,address)
claimDistributions(address)
claimDistributions(address,uint256)
claimDistributions(address[])
claimDistributions(address[],uint256)
claimWhitelistAdmin()
clearJackpotParticipantsAfterDistribution()
closeBlacklistSwitch()
closeDistribution()
closeDistribution(bool)
cofoundersSupplyDistributed()
communitySaleWhitelist(uint256)
completeBountyDistribution()
componentWhiteList()
componentWhiteListAddress()
confirmBlacklist(address)
confirmWhitelist(address)
confirmWhitelistContract()
continueDistribution(uint256)
contractsWhiteList(address)
createDistribution()
createLGEWhitelist(address,uint256[],uint256[])
crossForkDistribution()
crowdDistribution()
crvWhitelisted()
currentDistributionAmount()
currentProfitsDistributed()
dailyDistribution()
deBlacklist(address)
deBlacklistAddress(address)
deWhiteListCaller(address,bytes4)
deWhitelist(address)
deWhitelistAddress(address)
deactivateWhitelist()
debaseWhitelist(address)
delBlackLIst(address)
delBlackList(address)
delBlacklist(address)
delBlacklisted(address)
delFromBlackList(address)
delFromWhiteList(address)
delTransferWhiteList(address)
delWhiteList(address)
delWhitelist(address)
delWhitelisted(address)
delayWhitelist()
delegateWhitelist(address)
deleteFromBlackList(address)
deleteFromBlacklist(address)
deleteWhitelist(address)
deletefromblacklist(address)
depositWithWhitelist(uint256,address,uint256,bytes32[],uint256,uint256)
deprecatedDeleteWhitelist(address)
destroyBlacklistedTokens(address,uint256)
destroyWhitelist()
devDistributed()
devLockFirstDistributed()
devLockSecondDistributed()
devLockThirdDistributed()
dewhitelist(address)
disableBlacklist()
disableBlacklist(address[])
disableCtSaleWhitelistRegistration()
disableSktSaleWhitelistRegistration()
disableTGSaleWhitelistRegistration()
disableTokenSaleWhitelistRegistration()
disableTransferWhitelist()
disableVokenSaleWhitelistRegistration()
disableWesionSaleWhitelistRegistration()
disableWhitelist()
disableWhitelist(address[])
disableWhitelist(uint8)
disableWhitelistLimit()
displayBlacklist(address)
distributable()
distribute()
distribute(address)
distribute(address,address)
distribute(address,address,address)
distribute(address,uint256)
distribute(address,uint256,bool)
distribute(address,uint256,uint256)
distribute(address,uint256,uint256,address[],uint256[])
distribute(address,uint256,uint256,uint256)
distribute(address,uint256,uint256,uint256,uint256,uint256)
distribute(address,uint256,uint256,uint256,uint256,uint256,uint256)
distribute(address,uint256,uint256[])
distribute(address,uint256,uint256[],uint256[])
distribute(address,uint256,uint32,uint32,uint32,uint32,uint32)
distribute(address,uint8)
distribute(address[])
distribute(address[],uint256)
distribute(address[],uint256[])
distribute(address[],uint256[],bool)
distribute(address[],uint256[],uint256)
distribute(int256)
distribute(uint256)
distribute(uint256,address)
distribute(uint256,address[],bool)
distribute(uint256,uint256)
distribute(uint256,uint256,uint256)
distribute10MT(address[])
distribute10MTI(address[])
distribute1BTCO(address[])
distribute21ST(address[],uint256)
distribute55M(address[])
distributeA()
distributeAIC(address[],uint256)
distributeALLY(address[],uint256,uint256)
distributeANT(address[],uint256,uint256)
distributeAUM(uint256)
distributeAdviserBounty(address,uint256,bool)
distributeAirdrop(address[],uint256)
distributeAirdrop(address[],uint256,bool)
distributeAirdrop(address[],uint256[])
distributeAirdropMulti(address[],uint256[])
distributeAirdropMultiPresale(address[],uint256[],uint256[])
distributeAirdropMultipleInvestors(address[],uint256)
distributeAirdrops(address[],uint256[],bool)
distributeAllTokens()
distributeAmount()
distributeAmount(address[],uint256)
distributeAmounts(address[],uint256[])
distributeBTCB(uint256,address[])
distributeBTCG(uint256,address[])
distributeBTR(address[])
distributeBatch(address[],uint256[])
distributeBonusTokens(address,uint256)
distributeBounty(address,uint256)
distributeBountyTokens(address[],uint256[])
distributeCBC(address[],uint256,uint256)
distributeCDD(address[],uint256,uint256)
distributeCHENDE(address[])
distributeCOMIKETCOIN(address[],uint256)
distributeCRTM(address[],uint256,uint256)
distributeCXGC(address[],uint256,uint256)
distributeCallback(uint256,address[])
distributeCallback(uint256,uint256)
distributeCallback(uint256,uint256,address[])
distributeCoins()
distributeCommission()
distributeContest()
distributeCore(uint256)
distributeCrowdsaleTokens(address,uint256)
distributeCrowdsaleTokens(address,uint256,uint256)
distributeDEXT(address[],uint256,uint256)
distributeDOGET(address[],uint256,uint256)
distributeDRMK(address[],uint256,uint256)
distributeDailyRewards()
distributeDecreaseAllowance(address[],uint256[])
distributeDividends()
distributeDividends(address,uint256,uint256)
distributeDividends(uint256)
distributeDivident(uint256)
distributeDonationTokens()
distributeEBTC(address[])
distributeEDNR(address[])
distributeEGOX(address[])
distributeELTC(address[])
distributeELTCLarge(address[])
distributeELTCMedium(address[])
distributeELTCSmall(address[])
distributeEPAL(address[])
distributeERG(address[],uint256,uint256)
distributeETH(address,uint256)
distributeETHOS(address[],uint256)
distributeETHP(address[])
distributeEbyte(address[],address,uint256,uint256,uint256)
distributeEbyteForEBYTE(address[],address,uint256,uint256)
distributeEbyteForETH(address[],uint256,uint256,uint256)
distributeEth(uint256,uint256)
distributeEther(address[])
distributeEthersToHolders(address[],uint256[])
distributeExcessBalance()
distributeFAITH(address[],uint256,uint256)
distributeFLY(address[])
distributeFUD(address[],uint256,uint256)
distributeFUDD(address[],uint256,uint256)
distributeFees(uint256)
distributeFlyers(address[])
distributeFrom(address,uint256)
distributeFund(address,uint256)
distributeFunds()
distributeGLAU(address[],uint256,uint256)
distributeGREEN(address[],uint256,uint256)
distributeHAT(address[],uint256,uint256)
distributeHAT2(address[],uint256,uint256)
distributeHNC(address[],uint256,uint256)
distributeHmc(address,uint256)
distributeICOTokens(address,uint256)
distributeIncreaseAllowance(address[],uint256[])
distributeInitialFunds()
distributeInvestorsTokens(address,uint256)
distributeJST(address[],uint256,uint256)
distributeJackpot(uint256)
distributeLCASH(address[],uint256,uint256)
distributeLCD(address[],uint256)
distributeLCE(address[],uint256,uint256)
distributeLCWP(address[],uint256)
distributeLCWP(address[],uint256,uint256)
distributeLPRewardsForMaggotRot()
distributeLRN(address[],uint256)
distributeLRNX(address[],uint256)
distributeLTCS(address[],uint256,uint256)
distributeLTCW(address[],uint256)
distributeLenderBot(address[],uint256,uint256)
distributeList(address[],uint256[])
distributeLock(address,uint256,uint8,uint256,uint256)
distributeLockOldToken(address[])
distributeMAGGIE(address[],uint256,uint256)
distributeMarketingShares()
distributeMars(address,address,address)
distributeMint(address[],uint256[])
distributeMintToken(address[],uint256[])
distributeMinting(address[],uint256[])
distributeMultiple(address[],uint256[])
distributeNIM(address[],uint256,uint256)
distributePBIT(address[],uint256,uint256)
distributePCY(address[],uint256,uint256)
distributePENT(address[],uint256,uint256)
distributePassiveIncome()
distributePenalty(uint256)
distributePool()
distributePreSoldShares()
distributePresale(address[],uint256[])
distributePresale(uint256,uint256)
distributePresaleTokens(address,uint256)
distributePrincipalRewards(address)
distributePuppyCoinCLarge(address[])
distributePuppyCoinMedium(address[])
distributePuppyCoinSmall(address[])
distributeRandomly(uint256)
distributeReserveSupply(uint256,address)
distributeReservedTokens()
distributeRevenue()
distributeReward(address)
distributeReward(address,address)
distributeReward(address,uint256)
distributeReward(address,uint256,uint256)
distributeReward(uint256)
distributeRewards()
distributeRewards(address,uint256)
distributeRewards(address[])
distributeRewards(address[],uint256[])
distributeRewards(uint256)
distributeSMILE(address[],uint256)
distributeSML(address[],uint256)
distributeSRNT(address[],uint256)
distributeSSENTE(address[])
distributeStakingRewards((address,uint256,bool)[])
distributeSupply()
distributeSupply(address,uint256)
distributeTCASH(address[])
distributeTEST(address[])
distributeTFC(address[],uint256,uint256)
distributeTKLN(address[],uint256)
distributeTheSameAmountOfTokens(address[],uint256)
distributeToAddresses()
distributeToDev(address,uint256)
distributeToFound(address,uint256)
distributeToken(address)
distributeToken(address,uint256)
distributeToken(address,uint256,uint256)
distributeToken(address[],uint256)
distributeToken(address[],uint256[])
distributeToken(string,address,uint256)
distributeToken(uint256,address[])
distributeTokenByAmount(address,uint256)
distributeTokenSale(uint256,uint256,uint256,uint256)
distributeTokenSaleJackpot(uint256,uint256)
distributeTokens()
distributeTokens(address,address,address,address,address,address)
distributeTokens(address,uint256)
distributeTokens(address,uint256,uint256)
distributeTokens(address[])
distributeTokens(address[],uint256)
distributeTokens(address[],uint256[])
distributeTokens(uint256)
distributeTokens(uint256,bool)
distributeTokens(uint256,uint256)
distributeTokens(uint256,uint256,uint256)
distributeTokensAfterIcoByOwner()
distributeTokensFlexSum(address[],uint256[])
distributeTransformedHex()
distributeTratok(address[],uint256[])
distributeVES(address[],uint256,uint256)
distributeVM(address[],uint256,uint256)
distributeVSN(address[],uint256)
distributeWithAmount(address[],uint256[])
distributeWithLockup(address,uint256,uint256,uint256)
distributeWithLockup(address,uint256,uint256,uint256,uint256)
distributeWithLockup(address,uint256,uint8)
distributeWithPolicy(address,uint256,uint8)
distributeXAIN(address[],uint256,uint256)
distributeXPDS(address[],uint256,uint256)
distributeXYZ(address[],uint256)
distributeYield(uint256)
distribute_100_tokens_to_many(address[])
distribute_private_sale_fund(address,uint256,uint256)
distribute_token()
distributed()
distributed(address)
distributed(uint16,address)
distributedAmount()
distributedAutonomousExchange()
distributedBonusStakes()
distributedBountyStakes()
distributedCount()
distributedFundariaStakes()
distributedReservedTokensDestinationsLen()
distributedRewards()
distributedSaleStakes()
distributedTeamStakes()
distributedToken()
distributedTokenCount()
distributedTokens()
distributedTotal()
distributed_passive_rewards()
distributeeBTG(address[])
distributeeBitcoinCashLarge(address[])
distributeeBitcoinCashMedium(address[])
distributeeBitcoinCashSmall(address[])
distributeeth(uint256)
distributeload(uint256)
distributing()
distribution()
distribution(address)
distribution(address,uint256)
distribution(address[])
distribution(address[],address,uint256,uint256,uint256,uint256,uint256)
distribution(address[],uint256)
distribution(address[],uint256[])
distribution(uint8,address[],uint256[],uint256[])
distributionAccumulator()
distributionAddress()
distributionAddresses(uint256)
distributionBalanceOf(address)
distributionClosed()
distributionComplete()
distributionCondition(address)
distributionContract()
distributionContract1()
distributionContract2()
distributionContract3()
distributionContract4()
distributionContract5()
distributionContractAddress()
distributionEndsAt()
distributionFinished()
distributionFinishing()
distributionFromToken(uint256,bool)
distributionMinter()
distributionOpen()
distributionPaused()
distributionPercent()
distributionPoolWallet()
distributionReward()
distributionSupply()
distributionTotalSupply()
distribution_ongoing()
distributions(uint256)
distributionteamFinished()
distributiontime()
distributionuserFinished()
distributor()
distributorPrincipal()
distributors(address)
distributors(uint256)
distributorsList(uint256)
dividendDistribution()
dividendDistributionDuration()
dividendDistributionEndTime()
dividendDistributionPool()
dividendDistributionRate()
dividendDistributionStartTime()
dividendDistributors(address)
dividendsDistributor()
editDistributed(address,uint256)
editWhitelist(address,bool)
emission_Whitelisted(address)
emitBlacklisted(address)
emitBlacklisterChanged(address)
emitUnBlacklisted(address)
enableBlacklist()
enableBlacklist(address[])
enableWhitelist()
enableWhitelist(address[])
enableWhitelist(uint8)
enableWhitelist(uint8,bool)
enableWhitelistLimit()
endDistribution()
ethPendingDistribution()
ethSentWhitelist()
feeDistribute(address,uint256)
feeDistribution()
feeDistribution(address,uint256,uint256)
feeDistributor()
feeDistributorAddress()
feeWhiteList()
feeWhitelist()
feeWhitelist(address)
fetchUndistributedProfit()
finishDistribute()
finishDistribution()
finishUserDistribution()
finishZeroDistribution()
foundationDistributed()
founderDeveloperWhitelistMember(address,bool)
gContractWhitelist(address)
gameDistributionRatio()
gameWhiteListOf(address)
getAllBlacklist()
getAllWhitelist()
getBackForBlacklist(address)
getBlackListStatus(address)
getBlacklist()
getBlacklist(uint256)
getBlacklistByUser(address)
getBlacklistLength()
getBlacklistedAddressAt(uint256)
getBlacklistedAddresses()
getBlacklistedAddressesCount()
getBlacklistedCount()
getBlacklistedStatus(address)
getBlacklistedsLength()
getCurrentFeeDistribution()
getDeleteWhitelist(address)
getDistributedAmount()
getDistributedToken()
getDistributionTime()
getDistributor()
getDistributorAddress()
getFeeDistribution()
getFundDistributionPercentage(string)
getGlobalDistributionTimestamp()
getHowManyLeftToDistribute(uint256)
getIsBlacklisted(address)
getIsWhitelistEnabled()
getLGEWhitelistRound()
getLastDistributionTimestamp()
getLastDistributionTimestampWithAddress(address)
getMintWhitelist(uint256)
getMintWhitelistLength()
getNonRevocableWhitelistAdmin()
getPayoutDistributionHash()
getPendingFeeDistribution()
getPendingFeeDistributionTime()
getPoolWhiteLists()
getRemainingDistribution(string)
getRewardDistribution(uint256)
getRewardDistributor()
getTokenDistributionContract()
getTokenDistributionPercentage(string)
getUndistributedBalanceOf(address,uint256)
getWeeklyDistribution()
getWhiteListStatus(address)
getWhiteListedAddresses()
getWhitelist()
getWhitelist(address)
getWhitelistAddress()
getWhitelistAt(uint256)
getWhitelistContract()
getWhitelistCount()
getWhitelistData(address)
getWhitelistEnable()
getWhitelistLimit(address)
getWhitelistPending()
getWhitelistRule()
getWhitelistStatus(address)
getWhitelistToUserTotal(uint8,address)
getWhitelistTotal()
getWhitelisted()
getWhitelistedAddressStatusFromIndex(uint256)
getWhitelistedAddresses()
getWhitelistedPoolConfigBlacklistedAddresses(address)
getWhitelistedPoolConfigBuyRewardsFactor(address)
getWhitelistedPoolConfigRewardsToken(address,uint256)
getWhitelistedPoolConfigRewardsTokenRewardEscrow(address,uint256)
getWhitelistedPoolConfigRewardsTokenRewardsFactor(address,uint256)
getWhitelistedPoolConfigSellRewardsFactor(address)
getWhitelistedPoolConfigValid(address)
getWhitelistedsLength()
getbalanceOfDividendDistributorAtDistributionTimestamp()
getblacklistHistory()
globalWhitelistState()
govSetContractWhiteList(address,uint256)
govSetWhitelistBaseAmt(uint256)
govSetWhitelistToken(address,uint256)
grantBonusWhitelistMulti(address[])
hasDistribute()
hasWhiteList()
ico_distribution(address,uint256)
inAnyWhiteList(address)
inAppTokenDistribution(address,uint256)
inBlacklist(address)
inWhiteList(address)
inWhiteList(uint256,address)
inWhitelist(address)
incentiveDistributed()
incentiveDistributionDate()
incentiveDistributionInterval()
incentiveDistributionMaxRounds()
incentiveDistributionRound()
incentiveDistributionRoundDenominator()
incentiveDistributionStarted()
